2013-08-02 00:01:19.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:01:24.383 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:01:29.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:01:34.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:01:39.383 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:01:44.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:01:49.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:01:54.383 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:01:59.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:02:04.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:02:09.383 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:02:14.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:02:19.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:02:24.383 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
2013-08-02 00:02:29.382 PDT [Timer-5] WARN  o.o.c.p.o.c.internal.SwitchHandler - org.opendaylight.controller.protocol_plugin.openflow.core.internal.SwitchHandler$2@6a1cf93d is idle for too long, disconnect
